#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
1.000553076518779783e-01 2.262033874170837322e+01 2.128697216121120448e+02 2.111720684814453307e+03
1.004555288824854897e-01 2.098893273589746422e-01 1.975173015507373453e+00 2.111720684814453307e+03
1.008573509980154326e-01 2.931056876101768571e-01 2.438877784991822395e+00 2.388281254577636901e+03
1.012607804020075053e-01 2.953413410565233765e-01 2.132886910839371541e+00 2.751741764719893126e+03
1.016658235236155422e-01 3.309686842695501729e-01 2.154766260881999962e+00 3.052375778198242188e+03
1.020724868177099870e-01 1.683012108659076800e+00 1.016582061765304168e+01 3.290001231123761499e+03
1.024807767649808382e-01 9.675580668328079836e-01 7.181771109772961736e+00 2.677298165670255457e+03
1.028906998720407612e-01 4.883936831244234389e-01 2.497648525905210359e+00 3.885885292611471414e+03
1.033022626715289355e-01 2.447003716578840748e+00 1.057316129358503787e+01 4.599186633598514163e+03
1.037154717222150413e-01 5.419904916597073630e-01 1.985552941325628984e+00 5.424521792457216179e+03
1.041303336091038839e-01 5.944900338520855421e-01 1.916472720043860933e+00 6.164433879573170088e+03
1.045468549435403099e-01 1.381705485321495397e+00 3.962460482130704786e+00 6.929498413085937500e+03
1.049650423633144702e-01 2.790169064756918282e-01 7.137167404960221839e-01 7.768835001627604470e+03
1.053849025327677214e-01 2.265489703425534795e+00 5.120252890982928129e+00 8.792693673270088766e+03
1.058064421428987906e-01 4.687984371964792896e-01 9.581556406695437289e-01 9.723023972284227057e+03
1.062296679114703990e-01 2.644183567127029733e+00 5.048524037782790685e+00 1.040826726017441615e+04
1.066545865831162732e-01 1.941003315343955204e+00 3.379321753974924736e+00 1.141426615397135356e+04
1.070812049294487533e-01 1.284120008090288589e+00 1.809762300775654476e+00 1.410052677598110495e+04
1.075095297491665408e-01 5.934672122551381435e+00 7.704891869197614263e+00 1.530669553960755729e+04
1.079395678681632220e-01 1.381255802909514108e+00 1.586632421777029123e+00 1.730011750545058021e+04
1.083713261396358624e-01 6.298232194090738645e+00 6.396174129938487773e+00 1.956814469022529011e+04
1.088048114441943909e-01 4.921011014001889450e+00 4.497996130944053483e+00 2.174135069691051103e+04
1.092400306899711654e-01 1.841755200164239170e+01 1.480815053779377699e+01 2.471623671420784376e+04
