#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
1.000553076518779783e-01 6.017409111689109125e+01 5.662710081655950489e+02 2.111720684814453762e+03
1.004555288824854897e-01 1.458252721888490839e+02 1.372295324544126061e+03 2.111720684814453762e+03
1.008573509980154326e-01 1.696149968727741282e+02 1.411334768858655480e+03 2.388281254577636901e+03
1.012607804020075053e-01 2.187740422729190470e+02 1.579935573956865028e+03 2.751741764719893126e+03
1.016658235236155422e-01 2.592286818542630726e+02 1.687704136556795675e+03 3.052375778198242642e+03
1.020724868177099870e-01 2.072689304897572242e+02 1.251956986007930709e+03 3.290001231123760590e+03
1.024807767649808382e-01 3.213343356364693477e+02 2.385127805100361456e+03 2.677298165670255457e+03
1.028906998720407612e-01 3.740164450350536640e+02 1.912722573785053555e+03 3.885885292611470959e+03
1.033022626715289355e-01 3.243361428773672515e+02 1.401411174305896566e+03 4.599186633598514163e+03
1.037154717222150413e-01 4.272966854356118347e+02 1.565378366670789774e+03 5.424521792457217089e+03
1.041303336091038839e-01 4.458789463188899163e+02 1.437391357976346399e+03 6.164433879573171907e+03
1.045468549435403099e-01 4.246570464229213826e+02 1.217833165450336537e+03 6.929498413085936591e+03
1.049650423633144702e-01 5.337790063022813456e+02 1.365390425029531343e+03 7.768835001627604470e+03
1.053849025327677214e-01 7.086151628855756144e+02 1.601547264096169329e+03 8.792693673270088766e+03
1.058064421428987906e-01 8.288678195521298449e+02 1.694084949221974739e+03 9.723023972284227057e+03
1.062296679114703990e-01 8.005158055796574672e+02 1.528420090548047710e+03 1.040826726017441797e+04
1.066545865831162732e-01 1.093711311075721596e+03 1.904171104123885470e+03 1.141426615397135538e+04
1.070812049294487533e-01 8.353632158506111409e+02 1.177311190524533458e+03 1.410052677598110677e+04
1.075095297491665408e-01 1.250267111987503540e+03 1.623202210088784568e+03 1.530669553960755729e+04
1.079395678681632220e-01 1.285518333972676601e+03 1.476659908449598106e+03 1.730011750545058021e+04
1.083713261396358624e-01 1.099615832168856286e+03 1.116715630965175478e+03 1.956814469022529011e+04
1.088048114441943909e-01 1.569299465581756522e+03 1.434400960370742041e+03 2.174135069691051467e+04
1.092400306899711654e-01 1.501224596311085406e+03 1.207020336428578958e+03 2.471623671420784376e+04
1.096769908127310511e-01 1.986595801063634326e+03 1.504539040897433779e+03 2.623960623446377576e+04
1.101156987759819850e-01 7.519773248004454217e+03 2.082586589598819501e+03 7.175512733043324261e+04
1.105561615710859147e-01 1.033107907418372088e+04 9.979992273960422153e+02 2.057153706276633602e+05
1.109983862173702651e-01 9.589417831888900764e+03 8.446644066154904067e+02 2.256105011985085148e+05
1.114423797622397516e-01 8.081655149869773595e+03 5.462985483653815209e+02 2.939825348455255735e+05
1.118881492812886930e-01 7.501143602852136610e+03 4.135952884303679866e+02 3.604152501736111008e+05
1.123357018784138517e-01 1.088437787051108535e+04 6.199313395275307812e+02 3.489082838689630735e+05
1.127850446859275102e-01 1.174192760541683492e+04 6.309830492227996501e+02 3.698051609809027868e+05
1.132361848646712132e-01 4.808217821907895086e+03 1.914368489629757448e+02 4.991256152777777170e+05
1.136891296041298988e-01 6.577927106798964815e+03 2.461527033832981886e+02 5.310503613281250000e+05
1.141438861225464035e-01 1.563910481671678826e+04 5.834818302248004329e+02 5.326424994480299065e+05
1.146004616670366072e-01 6.446020295047712352e+03 1.949757060925519454e+02 6.569955510416666511e+05
1.150588635137047705e-01 7.812741198407597039e+03 2.213244007496792847e+02 7.014963298611112405e+05
1.155190989677595953e-01 1.055739015644644314e+04 2.809122372629289544e+02 7.468565168138586450e+05
1.159811753636306314e-01 2.334151559023432856e+04 6.498956839393647442e+02 7.137344525305707939e+05
