#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
2.069073235456129201e-01 2.322066858119854749e-02
2.077349528397953449e-01 2.321807970816382183e-02
2.085658926511545219e-01 2.328515730407403755e-02
2.094001562217591150e-01 2.339999660627311434e-02
2.102377568466461677e-01 2.348896562359292436e-02
2.110787078740327671e-01 2.345552193139117947e-02
2.119230227055288740e-01 2.338329353984525821e-02
2.127707147963510126e-01 2.349536475263074020e-02
2.136217976555363773e-01 2.338094314721515452e-02
2.144762848461585492e-01 2.346622864898340044e-02
2.153341899855431840e-01 2.352313816924447160e-02
2.161955267454853669e-01 2.365032987280189097e-02
2.170603088524672986e-01 2.362290230409625283e-02
2.179285500878772042e-01 2.358716777311261129e-02
2.188002642882286852e-01 2.366683076809100728e-02
2.196754653453815986e-01 2.354135338962942692e-02
2.205541672067631020e-01 2.350336617089383157e-02
2.214363838755901703e-01 2.371224547688366435e-02
2.223221294110925284e-01 2.361849471444841739e-02
2.232114179287369160e-01 2.339880133798706574e-02
2.241042636004518529e-01 2.349032177125728871e-02
2.250006806548536520e-01 2.344460377146435556e-02
2.259006833774730438e-01 2.372855510588414013e-02
2.268042861109829667e-01 2.364136015603966745e-02
2.277115032554268836e-01 2.357530688945449343e-02
2.286223492684485714e-01 2.343304049435393499e-02
2.295368386655223802e-01 2.337502380377129083e-02
2.304549860201844658e-01 2.368952621427984975e-02
2.313768059642651864e-01 2.332616859727881103e-02
2.323023131881222503e-01 2.333087467485051025e-02
2.332315224408747223e-01 2.334518788467666861e-02
2.341644485306381973e-01 2.366509612658936404e-02
2.351011063247607502e-01 2.371494641029088524e-02
2.360415107500598020e-01 2.362835920706447823e-02
2.369856767930600405e-01 2.371545537650955951e-02
2.379336195002322851e-01 2.392056330857243729e-02
2.388853539782332114e-01 2.354556680403112681e-02
2.398408953941461863e-01 2.363626450847370469e-02
2.408002589757227141e-01 2.373971893417051518e-02
2.417634600116256582e-01 2.356665276180093527e-02
2.427305138516721306e-01 2.317416073694164580e-02
2.437014359070788505e-01 2.314259769127760547e-02
2.446762416507071713e-01 2.302112679646355423e-02
2.456549466173099938e-01 2.298562634832802473e-02
2.466375664037792625e-01 2.327410968211657272e-02
