#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
1.136891296041298988e-01 1.330863013645388719e+03 4.980224367385464035e+01 5.310503613281250000e+05
1.141438861225464035e-01 3.028220807603604499e+03 1.129803681126751940e+02 5.326424994480299065e+05
1.146004616670366072e-01 1.326395938525687143e+03 4.012010090489868475e+01 6.569955510416666511e+05
1.150588635137047705e-01 1.667201552139017849e+03 4.722956707324592429e+01 7.014963298611111240e+05
1.155190989677595953e-01 2.139372315333493134e+03 5.692466173297026444e+01 7.468565168138586450e+05
1.159811753636306314e-01 4.598945883583759496e+03 1.280480296516078909e+02 7.137344525305706775e+05
1.164451000650851553e-01 1.366611788505387267e+03 2.864345612194874846e+01 9.481368057065217290e+05
1.169108804653455069e-01 1.789506551814580234e+03 3.344131056425270287e+01 1.063411287067819154e+06
1.173785239872068981e-01 1.766509141834676711e+03 3.058711245669248768e+01 1.147700765708111692e+06
1.178480380831557206e-01 1.724418553623152775e+03 2.662391940882119457e+01 1.287128654587765923e+06
1.183194302354883543e-01 2.052642377780000061e+03 2.911975388593394953e+01 1.400802321143616922e+06
1.187927079564302935e-01 5.158277895924680706e+03 7.113986103046215703e+01 1.440930336934840539e+06
1.192678787882560099e-01 1.082080475729195859e+04 1.775590363654294492e+02 1.211066646442818921e+06
1.197449503034090645e-01 2.670224990424540465e+03 2.614444528070898954e+01 2.029643145507812267e+06
1.202239301046226783e-01 3.404367218006866096e+03 2.786139819985933741e+01 2.428201675618489739e+06
1.207048258250411760e-01 2.786259292022315549e+03 2.677574111317857586e+01 2.067908371907552239e+06
1.211876451283413342e-01 4.862614730129153941e+03 1.587443669677015521e+02 6.087273289388021221e+05
1.216723957088547137e-01 6.600842891234167837e+03 5.328564645003323221e+02 2.461730004882812500e+05
1.221590852916901310e-01 5.192882792356048412e+03 6.413759396944982427e+01 1.608966931441326626e+06
1.226477216328568792e-01 5.973882206206239061e+03 2.975070130433693194e+01 3.990347419005102012e+06
1.231383125193883099e-01 7.007473618395520134e+03 2.124194273678157785e+01 6.555691369897957891e+06
1.236308657694658586e-01 8.306348281536314971e+03 1.983729536916725067e+01 8.321065469387754798e+06
1.241253892325437369e-01 9.752062835075204930e+03 1.752299557989901757e+01 1.105959953062500060e+07
1.246218907894739159e-01 1.168910215692942256e+04 1.649043655826186239e+01 1.408640799499999918e+07
1.251203783526317892e-01 1.341534001087828074e+04 1.663671589736227574e+01 1.602453167624999955e+07
1.256208598660423226e-01 2.035058110620291700e+04 2.350083649968403421e+01 1.720856893187500164e+07
1.261233433055065078e-01 3.611717817779505276e+04 4.712417929275529360e+01 1.523074945062500238e+07
1.266278366787285392e-01 3.021403194788121618e+04 3.228241735472043672e+01 1.859918431066176295e+07
1.271343480254434610e-01 2.931866671641766516e+04 2.578275828954960858e+01 2.259779691625000164e+07
1.276428854175452321e-01 5.811950947669539892e+04 5.989859812968966679e+01 1.928219825674019754e+07
1.281534569592154005e-01 7.344899487546684395e+04 6.059131535076234343e+01 2.408944189705882221e+07
1.286660707870522780e-01 5.935572533824031416e+04 4.121646122099696896e+01 2.861825685294118151e+07
1.291807350702004475e-01 5.378436832289233280e+04 3.201116914451005613e+01 3.338918343627450615e+07
1.296974580104812425e-01 6.640126907266159833e+04 3.636320462536693299e+01 3.628820546153846383e+07
1.302162478425231973e-01 1.210297570687300613e+05 6.725210321968130245e+01 3.576329726923076808e+07
1.307371128338932764e-01 1.320146422731076600e+05 6.726206121151660966e+01 3.900346522596153617e+07
1.312600612852288795e-01 1.276090154145174747e+05 5.905430573276503026e+01 4.294187976650943607e+07
1.317851015303697915e-01 1.732886858349188406e+05 7.078474866759499662e+01 4.864988026442307979e+07
1.323122419364912705e-01 2.311645543589002336e+05 8.062548341214596803e+01 5.697707791981132329e+07
1.328414909042372472e-01 2.733023377070750576e+05 1.086600648067981325e+02 4.998326811084905267e+07
1.333728568678542170e-01 2.552921795594627038e+05 8.836569962201112105e+01 5.741231417924528569e+07
1.339063482953256612e-01 3.691251514790639048e+05 1.149845001383566085e+02 6.379484675471698493e+07
1.344419736885069383e-01 4.357261395187107264e+05 1.218875064372955990e+02 7.104044674537037313e+07
1.349797415832609815e-01 5.147336838232294540e+05 1.203609797401835237e+02 8.498614633962263167e+07
1.355196605495940232e-01 4.985866915665601264e+05 1.125426025669616621e+02 8.803897748148147762e+07
1.360617391917924301e-01 6.533190354556001257e+05 1.395856954485663266e+02 9.301128822222220898e+07
1.366059861485595939e-01 7.924648465461221058e+05 1.561748419333658262e+02 1.008370642037037015e+08
1.371524100931538481e-01 9.454202803111593239e+05 1.849868574231865637e+02 1.015629487272727340e+08
1.377010197335264696e-01 9.892426925098111387e+05 1.671048380043566510e+02 1.176427286181818247e+08
