P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168523649e+00 2.135298602991979806e+03 1.577927150981935740e-03 8.351417306900126292e-01 1.620980436615109821e-01 3.645764491639840290e-04 4.850553510266598863e-07 5.239023580590691830e-04 4.513848175877459046e-08 5.299758882088622290e-07 6.812737561123530477e-05 2.127461476230975356e-05 8.966754401053002858e-08 2.862842148850387770e-10 3.723560724324824064e-06 2.334198929149683119e-07 1.445173967457774410e-07 3.198386383260189033e-09 2.411470840219121292e-07 1.499550580669719706e-08 2.597542353170226082e-11 2.607511213287142621e-07 3.635619003599248046e-08 7.721532013194550154e-08 1.683239875106459336e-08 5.451838939442214506e-05 6.642045317477165230e-05 3.820591957731910840e-06 6.064545174916213230e-05 5.510221397311756190e-07
3.246479068522319711e+00 2.106574930791037332e+03 1.658254747654685189e-03 8.350684942237857067e-01 1.620913606350205538e-01 3.642252630225764056e-04 2.299074212321806913e-07 5.241768271567222434e-04 4.605500307975690894e-08 3.495762956096369201e-07 6.823021823881019095e-05 2.105603527297409268e-05 5.682052016638785889e-08 1.182321138407151357e-10 3.723567139753558766e-06 2.330476097502653568e-07 1.457765929167642179e-07 3.455412586626083228e-09 1.856308206804983143e-07 1.561740638664348553e-08 1.968258309712178477e-11 2.047404912283073018e-07 2.782874417671324293e-08 5.748626253687159766e-08 1.317336470178550445e-08 5.457161022063282982e-05 6.643998832131553956e-05 3.834887245928078451e-06 6.063720980685225284e-05 4.806187742838887283e-07
2.048389811985373399e+00 2.092953559612376921e+03 1.912315292710684619e-03 8.348352701441260626e-01 1.620706027703777419e-01 3.640247160540397483e-04 9.956765396163697536e-08 5.242651906550585767e-04 4.651173233642786840e-08 2.253384998921886305e-07 6.829396114145073495e-05 2.070571012425467285e-05 3.592192024334127966e-08 4.789307251304424592e-11 3.722801985860400462e-06 2.308167638946180757e-07 1.463020524741769174e-07 3.584385210753814892e-09 1.452403433869397868e-07 1.787073735726745980e-08 1.714090101093097689e-11 1.406779802475060888e-07 2.173913986255815288e-08 4.424603585362069887e-08 1.039902105206927198e-08 5.460502454994383423e-05 6.644691919153562440e-05 3.846931931008021681e-06 6.066981196903441947e-05 4.420367883391419351e-07
1.292446596230572897e+00 2.086630961475924778e+03 2.309684592487632523e-03 8.344701692629583611e-01 1.620382281392973023e-01 3.638958589590774611e-04 4.121167870376436714e-08 5.242343072474624395e-04 4.673207647586228482e-08 1.435754606624528888e-07 6.832904789191435451e-05 2.023013951440805352e-05 2.267868362276155457e-08 1.920873364373042490e-11 3.721318086683178677e-06 2.263975275393787139e-07 1.465147759146152608e-07 3.646014507202180626e-09 1.145507809320221558e-07 2.137698141485306763e-08 1.596042728290001199e-11 8.635421543694520750e-08 1.714929880766806307e-08 3.462293909239421043e-08 8.242464644347812343e-09 5.462486196458747910e-05 6.644512864142087139e-05 3.856630147712150404e-06 6.073238522780640807e-05 4.161524430990920009e-07
8.154786722401063948e-01 2.084581171321322472e+03 2.866271216170717274e-03 8.339586555908310439e-01 1.619929297771816878e-01 3.637832108132762966e-04 1.659769456963748136e-08 5.241219362616711700e-04 4.681176402006378864e-08 9.081487527524585043e-08 6.834269852261605548e-05 1.961174341160239778e-05 1.429962806861210514e-08 7.653000756405133561e-12 3.719235030591532785e-06 2.206255822782628952e-07 1.465562300132085981e-07 3.667252715202680678e-09 9.074263415540028073e-08 2.623674331422283579e-08 1.544712513604138397e-11 4.853335548968507204e-08 1.360017474160437781e-08 2.734822429420487335e-08 6.546303260891711528e-09 5.463349558489986971e-05 6.643540768002378298e-05 3.864122614253570391e-06 6.082255022240136091e-05 3.953756717052691231e-07
5.145322575168512769e-01 2.086947587807680520e+03 3.654706945647454627e-03 8.332338716952867319e-01 1.619287818803901158e-01 3.636471633107884321e-04 6.507229519507203023e-09 5.239304656610620442e-04 4.674738802893219660e-08 5.703944633614073898e-08 6.833777078230711378e-05 1.880075976448613656e-05 9.008724568952541374e-09 3.031110446749914733e-12 3.716555236226192478e-06 2.149680409533333413e-07 1.464261542611442478e-07 3.647140916005600083e-09 7.221283012490771844e-08 3.313040015472534589e-08 1.558720225891140753e-11 2.531615327376816460e-08 1.084556986055743785e-08 2.181071390212632634e-08 5.211130192699678251e-09 5.463053285705701199e-05 6.641600973149121615e-05 3.869565501531532106e-06 6.094682773827535797e-05 3.776593939082203078e-07
3.246479068522313272e-01 2.094538077823471212e+03 4.812832993201807651e-03 8.321692545303289723e-01 1.618345850266318664e-01 3.634442072689840790e-04 2.469565959139207294e-09 5.236336032206493404e-04 4.651152784572941446e-08 3.551616267531099710e-08 6.831306209519584179e-05 1.771918850490742419e-05 5.668545362161818998e-09 1.191584130366492568e-12 3.712444012798037396e-06 2.069586631789147086e-07 1.460782866212167938e-07 3.578142351878826751e-09 5.777294397084728251e-08 4.307178090275265339e-08 1.644857318339800597e-11 1.232009931416044108e-08 8.705890252447065868e-09 1.759154122219071370e-08 4.159577032339934334e-09 5.461339251533073807e-05 6.638283516912175583e-05 3.872957479099777556e-06 6.111556683915140913e-05 3.614561825297307285e-07
2.048389811985369124e-01 2.106751342795600976e+03 6.520476638177659032e-03 8.306000031125472249e-01 1.616957639503254496e-01 3.631147443339848490e-04 9.102610938302142426e-10 5.231886203067586012e-04 4.612513923939537248e-08 2.193863355255438032e-08 6.826463321654631811e-05 1.630186684254041076e-05 3.562172772163687397e-09 4.651819445674699789e-13 3.706117982371912031e-06 1.959123041938278515e-07 1.454993921559488942e-07 3.467188920488965118e-09 4.643086383309331942e-08 5.732592259291694349e-08 1.801508673770307674e-11 5.671068186548281538e-09 7.027873109122889161e-09 1.432817317957079445e-08 3.327690601869961197e-09 5.457815017480789686e-05 6.633032851400718613e-05 3.874132277112607926e-06 6.133266316602335884e-05 3.433177065216014295e-07
1.292446596230570344e-01 2.122274750294306614e+03 9.006884077512598494e-03 8.283160378142274682e-01 1.614937476071552358e-01 3.625774500335429240e-04 3.283223632171041087e-10 5.225374214659582722e-04 4.563638212101062267e-08 1.346401623690784026e-08 6.818614337829118760e-05 1.452476000391177179e-05 2.234553161645120704e-09 1.804579013920340709e-13 3.696455975851911180e-06 1.808491863718433015e-07 1.446995133999999528e-07 3.329429534555160305e-09 3.741170262826104146e-08 7.716677283236838380e-08 2.013550782652149055e-11 2.512854594141007633e-09 5.691831510673527352e-09 1.174229770799646496e-08 2.664694356099954887e-09 5.451930479184451139e-05 6.625119242345919217e-05 3.872799010111801585e-06 6.159175872499851904e-05 3.199125174345202610e-07
8.154786722401047294e-02 2.139478403345996412e+03 1.254912087602528571e-02 8.250640094690577797e-01 1.612061508794406517e-01 3.617353718720205005e-04 1.170803643664624159e-10 5.216084593454646708e-04 4.509802184571429031e-08 8.230452988747048566e-09 6.806918669331213790e-05 1.243928647146188898e-05 1.399674837470968523e-09 6.973189686928622991e-14 3.681949915074115139e-06 1.619624442575276362e-07 1.437044355138617131e-07 3.181314238939363702e-09 3.016653954391783628e-08 1.037738258474672639e-07 2.257406382626380781e-11 1.091550626673390941e-09 4.614163397984510709e-09 9.646439638966071884e-09 2.133487739700274109e-09 5.442982626048843155e-05 6.613644219659091329e-05 3.868553155510951567e-06 6.187188286575790862e-05 2.899869208762773575e-07
