Time,ymodel
2455943.6564130215,1.001497013514778
2455943.689908392,1.0013823713654613
2455943.6912857066,1.0013776573310453
2455943.6926630214,1.0013729432966294
2455943.694040336,1.0013682292622135
2455943.695417651,1.0013635152277975
2455943.696794966,1.0013588011933816
2455943.6981722806,1.0013540871589657
2455943.6995495954,1.00134937312455
2455943.70092691,1.001344659090134
2455943.702304225,1.001339945055718
2455943.70368154,1.0013352310197081
2455943.705058855,1.0013305169852922
2455943.70643617,1.0013258029508763
2455943.7078134846,1.0013210889164603
2455943.7091907994,1.0013163748820444
2455943.710568114,1.0013116608476285
2455943.711945429,1.0013069468132125
2455943.713322744,1.0013022327787966
2455943.7147000586,1.0012975187443807
2455943.7160773734,1.0012928047099647
2455943.717454688,1.0012880906755488
2455943.718832003,1.0012833766411329
2455943.7202093177,1.001278662606717
2455943.7215866325,1.001273948572301
2455943.7229639473,1.001269234537885
2455943.7564477436,1.0010670988908348
2455943.7578250584,1.0009569184040907
2455943.759202373,1.0008274829759933
2455943.760579688,1.000685517641729
2455943.761957003,1.000536140518143
2455943.7633343176,1.0003838664681253
2455943.7647116324,1.0002331187708435
2455943.766088947,1.000088651508177
2455943.767466262,0.9999561208399992
2455943.7688435772,0.999843299636487
2455943.770220892,0.9997647183610963
2455943.771598207,0.9997517597076445
2455943.7729755216,0.999747052034958
2455943.7743528364,0.9997423443622714
2455943.775730151,0.9997376366895848
2455943.777107466,0.9997329290168983
2455943.778484781,0.9997282213442117
2455943.7798620956,0.9997235136715251
2455943.7812394104,0.9997188059988386
2455943.782616725,0.999714098326152
2455943.78399404,0.9997093906534654
2455943.785371355,0.9997046829807789
2455943.7867486696,0.9996999753080923
2455943.7881259844,0.9996952676354057
2455943.789503299,0.9996905599627192
2455943.8229523734,0.9995762307666287
2455943.824329688,0.9995715230939421
2455943.825707003,0.9995668154212556
2455943.827084318,0.999562107748569
2455943.8284616326,0.9995574000758825
2455943.8298389474,0.9995526924031959
2455943.831216262,0.9995479847305092
2455943.832593577,0.9995432770578226
2455943.833970892,0.9995385693851361
2455943.8353482066,0.9995338617124495
2455943.8367255214,0.999529154039763
2455943.838102836,0.9995244463670764
2455943.839480151,0.9995197386943898
2455943.8408574658,0.9995150310217032
2455943.8422347805,0.9995103233490167
2455943.8436120953,0.9995056156763301
2455943.84498941,0.9995009080036436
2455943.846366725,0.999496200330957
2455943.84774404,0.9995442475420626
2455943.849121355,0.9996385997063173
2455943.85049867,0.9997561946702194
2455943.8518759846,0.9998879539374035
2455943.8532532994,1.0000277190015734
2455943.854630614,1.0001705182353022
2455943.856007929,1.00031186919049
