File Name,Datetime,Exp Time,Filter,JD,Time,Orbit
idky01hdq_flt.fits,2018-03-05 22:55:17,223.73819,G141,2458183.45506745,24767.008416051976,4.0
idky01heq_flt.fits,2018-03-05 22:59:19,223.73819,G141,2458183.45786856,25009.02432007715,4.0
idky01hfq_flt.fits,2018-03-05 23:03:21,223.73819,G141,2458183.4606693,25251.00825636182,4.0
idky01hgq_flt.fits,2018-03-05 23:07:23,223.73819,G141,2458183.46347041,25493.024160386994,4.0
idky01hmq_flt.fits,2018-03-06 00:02:27,223.73819,G141,2458183.50171115,28797.024096013047,5.0
idky01hnq_flt.fits,2018-03-06 00:06:29,223.73819,G141,2458183.50451189,29039.008032297716,5.0
idky01hoq_flt.fits,2018-03-06 00:10:31,223.73819,G141,2458183.507313,29281.02393632289,5.0
idky01hpq_flt.fits,2018-03-06 00:14:33,223.73819,G141,2458183.51011375,29523.00873636268,5.0
idky01hqq_flt.fits,2018-03-06 00:18:35,223.73819,G141,2458183.51291486,29765.024640387855,5.0
idky01hrq_flt.fits,2018-03-06 00:22:37,223.73819,G141,2458183.5157156,30007.00857604388,5.0
idky01hsq_flt.fits,2018-03-06 00:26:39,223.73819,G141,2458183.51851671,30249.024480069056,5.0
idky01htq_flt.fits,2018-03-06 00:30:41,223.73819,G141,2458183.52131745,30491.008416353725,5.0
idky01huq_flt.fits,2018-03-06 00:34:43,223.73819,G141,2458183.52411856,30733.0243203789,5.0
idky01hvq_flt.fits,2018-03-06 00:38:45,223.73819,G141,2458183.5269193,30975.008256034926,5.0
idky01hwq_flt.fits,2018-03-06 00:42:47,223.73819,G141,2458183.52972041,31217.0241600601,5.0
