#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
1.000553076518779783e-01 2.073307775225998253e-02
1.004555288824854897e-01 2.209972221267678810e-02
1.008573509980154326e-01 2.211342717207666342e-02
1.012607804020075053e-01 2.215035374501826693e-02
1.016658235236155422e-01 2.206915837119995810e-02
1.020724868177099870e-01 2.193992840708439487e-02
1.024807767649808382e-01 2.202595643497784819e-02
1.028906998720407612e-01 2.202958303911750626e-02
1.033022626715289355e-01 2.192664276637518866e-02
1.037154717222150413e-01 2.200466942498453121e-02
1.041303336091038839e-01 2.202824758983122286e-02
1.045468549435403099e-01 2.198076490653355294e-02
1.049650423633144702e-01 2.208478538342318817e-02
1.053849025327677214e-01 2.206076891943868981e-02
1.058064421428987906e-01 2.209026512184904950e-02
1.062296679114703990e-01 2.190389117338969668e-02
1.066545865831162732e-01 2.199331127571800548e-02
1.070812049294487533e-01 2.200638426277581189e-02
1.075095297491665408e-01 2.194788282865265533e-02
1.079395678681632220e-01 2.202902105006745992e-02
1.083713261396358624e-01 2.186205260295333644e-02
1.088048114441943909e-01 2.194755475777561415e-02
1.092400306899711654e-01 2.186126228189711959e-02
1.096769908127310511e-01 2.195277486352695262e-02
1.101156987759819850e-01 2.195763607550661745e-02
1.105561615710859147e-01 2.186485876380278928e-02
1.109983862173702651e-01 2.194226082670214240e-02
1.114423797622397516e-01 2.200418917061482474e-02
1.118881492812886930e-01 2.196588824129358519e-02
1.123357018784138517e-01 2.196165964879021049e-02
1.127850446859275102e-01 2.169836095590690905e-02
1.132361848646712132e-01 2.175678565627674546e-02
1.136891296041298988e-01 2.171421383199644006e-02
1.141438861225464035e-01 2.171474636854165211e-02
1.146004616670366072e-01 2.174887918831288486e-02
1.150588635137047705e-01 2.176676046951850352e-02
1.155190989677595953e-01 2.169250055698740409e-02
1.159811753636306314e-01 2.169324325246380081e-02
1.164451000650851553e-01 2.173619411896766940e-02
1.169108804653455069e-01 2.170338385355728358e-02
1.173785239872068981e-01 2.163929100732361888e-02
1.178480380831557206e-01 2.173619861812499388e-02
1.183194302354883543e-01 2.165527110363649199e-02
1.187927079564302935e-01 2.167287456685788871e-02
1.192678787882560099e-01 2.174952882163689108e-02
1.197449503034090645e-01 2.171127752571118397e-02
1.202239301046226783e-01 2.179943963361613210e-02
1.207048258250411760e-01 2.164055577627285384e-02
1.211876451283413342e-01 2.187036575705651742e-02
1.216723957088547137e-01 2.183218133506910352e-02
