P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168523649e+00 1.958325741424707303e+03 4.994482674281028756e-04 8.361389210020487850e-01 1.621875336790607747e-01 3.655647746139292862e-04 1.473462942966120901e-06 5.231964656005278283e-04 5.156810649529948807e-08 7.027809550016133005e-07 6.808421929838566488e-05 2.195279618298418879e-05 9.088093103974856240e-08 3.555032736765408733e-10 3.726822821307019935e-06 2.380291269002462311e-07 7.302367110299658618e-09 5.025974362336975223e-09 1.635273240590048609e-07 4.561683093111161757e-09 4.487112652364932966e-12 4.326456034626311160e-07 2.576086507897280069e-08 5.108170964166414164e-08 1.492452652737687173e-08 4.531879746250442676e-05 6.648136479540089352e-05 3.506820387742914789e-06 6.023261733746013841e-05 2.511753362072156773e-07
3.246479068522319711e+00 1.924463950006662571e+03 4.881122146194236512e-04 8.361537472106985724e-01 1.621886086626909418e-01 3.643506257317112302e-04 7.542521543297185854e-07 5.239588747358719933e-04 5.304232506645531368e-08 4.723186445219900770e-07 6.821395407926415257e-05 2.184014643286680290e-05 5.790466636112817664e-08 1.501804265424808839e-10 3.727069809703368884e-06 2.381623314219868066e-07 4.051848178715095254e-09 5.439848323497281941e-09 1.201368741264550891e-07 4.422343663943756473e-09 3.043750600314703220e-12 4.029800938949798221e-07 1.814359089196952597e-08 3.704438714813241564e-08 1.157752463207892129e-08 4.381779610005985456e-05 6.649864576379180454e-05 3.292004294597614887e-06 6.016309909330361727e-05 1.742692833297564424e-07
2.048389811985373399e+00 1.908598278780449164e+03 5.438546415214680829e-04 8.361034301639775901e-01 1.621839590874773751e-01 3.641112008283187347e-04 3.387403328562843084e-07 5.243845407218161985e-04 5.383371296501664130e-08 3.072870780473427715e-07 6.830166470332501064e-05 2.169049112614291849e-05 3.668559676656966653e-08 6.142653567399480030e-11 3.727081516005952669e-06 2.378237917585103897e-07 4.054094709844182023e-09 5.638567375899474430e-09 9.346904790243381197e-08 4.905758804126581827e-09 2.522355947427805400e-12 3.482049033293158276e-07 1.239919306067219680e-08 2.816271639662613647e-08 9.100707550708051863e-09 4.384318218896634682e-05 6.650806058048693719e-05 2.911178373068616419e-06 6.014956898501127707e-05 1.554694407284856392e-07
1.292446596230572897e+00 1.901419558270042216e+03 6.471647568787801223e-04 8.360082807192260601e-01 1.621754337050654027e-01 3.642048618296646789e-04 1.424751355776694261e-07 5.245691158029020017e-04 5.423708742553974663e-08 1.966629624038402820e-07 6.835681438044500494e-05 2.149612335403095113e-05 2.318004361088779503e-08 2.473244825187149724e-11 3.726942541938072789e-06 2.372638802131856869e-07 4.054493794267840701e-09 5.730370189185097800e-09 7.355183942759168884e-08 5.822151181556339169e-09 2.311498424357770081e-12 2.731554831329655032e-07 9.446397568304028801e-09 2.192374540744678268e-08 7.200515640027014771e-09 4.386080555065416636e-05 6.651284990121463479e-05 2.827677485266203405e-06 6.016774650005219126e-05 1.597410997467772435e-07
8.154786722401063948e-01 1.899501765433289165e+03 8.014977546216008573e-04 8.358665865363754666e-01 1.621628083716546154e-01 3.640846820703632757e-04 5.761430343596752335e-08 5.246230847029566659e-04 5.434064498881617998e-08 1.245683188828452319e-07 6.838997424185156544e-05 2.123740588838188176e-05 1.463379677776223056e-08 9.879015182415091052e-12 3.726673615878798313e-06 2.366554637808314553e-07 4.054569446297160544e-09 5.755758730479858137e-09 5.826477700356705856e-08 7.199696855363913163e-09 2.251513270536960574e-12 1.901986768305739165e-07 7.496818299280133710e-09 1.730986681151787267e-08 5.718055214844084195e-09 4.387271926379151437e-05 6.651399016004106790e-05 2.836008812131475422e-06 6.020710181348435508e-05 1.559959521630614663e-07
5.145322575168512769e-01 1.903263447837988679e+03 1.035148239798389319e-03 8.356518104544035097e-01 1.621437459157868688e-01 3.639966346031575694e-04 2.235489874900925996e-08 5.246029997362201217e-04 5.417206647377830177e-08 7.808104373537107534e-08 6.840842024520239273e-05 2.088165588462761411e-05 9.228736887011896189e-09 3.911362933603914374e-12 3.726127335150774348e-06 2.352588160358534456e-07 4.053996202410629183e-09 5.713803202134737312e-09 4.648979098284044683e-08 9.282676347681088195e-09 2.335595797174594439e-12 1.152163169984057146e-07 6.003204326835557872e-09 1.387509971703422351e-08 4.559970973416872490e-09 4.387941266414393604e-05 6.651103065332582558e-05 2.842897292137989128e-06 6.027658187310281843e-05 1.566449019407048607e-07
3.246479068522313272e-01 1.913530024313188278e+03 1.403320355309607258e-03 8.353132822146384084e-01 1.621137507054637994e-01 3.639017477304714232e-04 8.267634450341309702e-09 5.245242922727478413e-04 5.369190197849463797e-08 4.834520034513187729e-08 6.841512837160111096e-05 2.036777144338954612e-05 5.812924485291943311e-09 1.532767450314477553e-12 3.725035279129364467e-06 2.318032731169278018e-07 4.052051077878106093e-09 5.592595064080131877e-09 3.740226064827412823e-08 1.253316372133211254e-08 2.599713082498882780e-12 6.036780129068045995e-08 4.857222609346665195e-09 1.131635171428680198e-08 3.654215203249720424e-09 4.388050378730510605e-05 6.650250234957206380e-05 2.848403445050598590e-06 6.038738371416026173e-05 1.619317770627142487e-07
2.048389811985369124e-01 1.928740059728029337e+03 1.973338800316522517e-03 8.347893737290533744e-01 1.620673631059594832e-01 3.637763817454416353e-04 2.948611990129583415e-09 5.243825322969779745e-04 5.298541607647057908e-08 2.965485101637212977e-08 6.840984629736633486e-05 1.962900809113859009e-05 3.657880538443503045e-09 5.959878718933633201e-13 3.723330536641714081e-06 2.271672909895832504e-07 4.048444097704477222e-09 5.409012715439070277e-09 3.027909394014438985e-08 1.753521419702779776e-08 3.054030908051830788e-12 2.823956885360602353e-08 3.960355967877649968e-09 9.350825006264469684e-09 2.938985741387315940e-09 4.387524147061199522e-05 6.648650899932050248e-05 2.852454898538570529e-06 6.054516530151723595e-05 1.699025237489104532e-07
1.292446596230570344e-01 1.945117634487417490e+03 2.798867998115352543e-03 8.340311672451503622e-01 1.620002501790382965e-01 3.636025977234883053e-04 1.041623528153969421e-09 5.241694425578534303e-04 5.223800530119196496e-08 1.813909957205761374e-08 6.839165068783716484e-05 1.862917349581658081e-05 2.299879282241923146e-09 2.310718252841098199e-13 3.720807553602461284e-06 2.209662242819133040e-07 4.042950235365863117e-09 5.208649818392050456e-09 2.454077069239744177e-08 2.468089128815462924e-08 3.623557899542579179e-12 1.252752809604583666e-08 3.232936387069979086e-09 7.747863905492120854e-09 2.364650383486024204e-09 4.386302571347443035e-05 6.646155370518041974e-05 2.855034156786304501e-06 6.074534433686685608e-05 1.764458517899907105e-07
8.154786722401047294e-02 1.957510807115522539e+03 3.858618914763358668e-03 8.330585148756735059e-01 1.619141651497210954e-01 3.633716693402798447e-04 3.781983084705449767e-10 5.238929969220167040e-04 5.167468380428415992e-08 1.117094256894424122e-08 6.836209900636419006e-05 1.741933038251409534e-05 1.446612199633419309e-09 9.009154661477608754e-14 3.717494850035177426e-06 2.133069190409419359e-07 4.036926771757568882e-09 5.054014477446854208e-09 1.979106377951561212e-08 3.363521050929703928e-08 4.104272729761379436e-12 5.652403736798461706e-09 2.621405891965312108e-09 6.354516046126764083e-09 1.896298110292266293e-09 4.384470658999244455e-05 6.642853037811033542e-05 2.856311015197753726e-06 6.096821869918001854e-05 1.769056259475007417e-07
