P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168547701e+02 4.500252731238982960e+03 1.317408485057134926e-01 7.155009619567167523e-01 1.515454484841534111e-01 3.702718815328656177e-04 7.238394598618075822e-06 4.550787122697141115e-04 2.517602291057508287e-08 7.838559043480733109e-06 4.962175337508370357e-05 9.232393473742644865e-06 5.638430499304189730e-06 5.274385614503369625e-07 1.990943710870401551e-06 3.449523811998645408e-08 8.128237542789243769e-09 9.661233641191360552e-11 6.281666584737237410e-06 2.139947164293350410e-06 5.523663694189145167e-07 3.441073295549962905e-08 8.393489863054784979e-07 6.336550230226694511e-06 1.825623842513918684e-07 4.482179086069329596e-05 5.552367793391403358e-05 2.250443331478426906e-06 1.057055094318828493e-05 1.959407080283102647e-06
3.246479068522336888e+02 4.195685122254522867e+03 1.075199780540411904e-01 7.377584556947912597e-01 1.535064111185936719e-01 3.697057692747871124e-04 4.555103309061288609e-06 4.770587897760148084e-04 2.624396828537905801e-08 5.975895019536014803e-06 5.552163721015651956e-05 1.000079400974726496e-05 4.045236781266215839e-06 2.594369263750240146e-07 2.348720264678987840e-06 4.266156684048139465e-08 1.161754378379181316e-08 1.226508593193306159e-10 4.934540946765624635e-06 1.636447936434973173e-06 2.983800349057433617e-07 3.382340988933696146e-08 7.281557256057766629e-07 4.662063667407368881e-06 1.566696165071465472e-07 4.688273880629536676e-05 5.815850423034470774e-05 2.596989772850844632e-06 1.716825872449658852e-05 1.910186993235562488e-06
2.048389811985380220e+02 3.910920762669342366e+03 8.479665071782671593e-02 7.586345445845162905e-01 1.553469302072482683e-01 3.694207037360372958e-04 2.913554286330098821e-06 4.915725044864429792e-04 2.712821371864698374e-08 4.489997270038829520e-06 5.968351790294035937e-05 1.091783914833202762e-05 2.789256462103408701e-06 1.234650477295932709e-07 2.696103594616866166e-06 5.342194256479400704e-08 1.666164331217574891e-08 1.581178263524293387e-10 3.801734979307586779e-06 1.206406666064352736e-06 1.517913083689796135e-07 3.443075792682178762e-08 6.023133965560825649e-07 3.335631515601107898e-06 1.320663941884959454e-07 4.866035195800395862e-05 6.031595716262800727e-05 2.907411628972688739e-06 2.634032794447680646e-05 1.864376019929013700e-06
1.292446596230576574e+02 3.639974321543621954e+03 6.380934312446984169e-02 7.779160075944702157e-01 1.570474808094492747e-01 3.679870224714056081e-04 1.935527558051112672e-06 5.017139925820480063e-04 2.794506634883860226e-08 3.358741704672114508e-06 6.256141371477173677e-05 1.203072972188894116e-05 1.883350828481086523e-06 5.825501415592863331e-08 3.011456396673456094e-06 6.789320840591953422e-08 2.405468423949350467e-08 2.081110961460778523e-10 2.871883197916881734e-06 8.453625510199623265e-07 7.132095617303553641e-08 3.689220863874456490e-08 4.763820177128891261e-07 2.317159781298555534e-06 1.092935075960298583e-07 5.017455220630458575e-05 6.206822800904697565e-05 3.169778912439882284e-06 3.710997602532828052e-05 1.825763538536375813e-06
8.154786722401098586e+01 3.379493744956597766e+03 4.523898587079471650e-02 7.949779551384333898e-01 1.585526523667686316e-01 3.660183248023157038e-04 1.351845409202669356e-06 5.091369769545183539e-04 2.889976525252538521e-08 2.518849295918570507e-06 6.453722006964819624e-05 1.337220945979777646e-05 1.253191287852397178e-06 2.739840707160182479e-08 3.273700183818472288e-06 8.749119389896720843e-08 3.499844693479722385e-08 2.823527140807840765e-10 2.125004796290216374e-06 5.575378205174110633e-07 3.045733047415873919e-08 4.220523949601229625e-08 3.611696724568093936e-07 1.558577859308933284e-06 8.869216511307961382e-08 5.143397204628986192e-05 6.346136984984882066e-05 3.379193396412241145e-06 4.723419638671177219e-05 1.792876246979090716e-06
5.145322575168533774e+01 3.125655517946896907e+03 2.963683009162204618e-02 8.093155612196091253e-01 1.598178598493923963e-01 3.648965251176751164e-04 1.007697328340965012e-06 5.146617008529901427e-04 3.025293303944710005e-08 1.906812259302606545e-06 6.589284694779471905e-05 1.497774052398282960e-05 8.222221531170538534e-07 1.282554289592408081e-08 3.471473219344573929e-06 1.139038421830761474e-07 5.114362246640992083e-08 4.005874192148919066e-10 1.536336119950754311e-06 3.414634968490502797e-07 1.154863492247240693e-08 5.263194044816476029e-08 2.627654579669748251e-07 1.009344430776953928e-06 7.044799400939485401e-08 5.245174847460982212e-05 6.453805188244835422e-05 3.538469115459358639e-06 5.465606804936558755e-05 1.757254327377848390e-06
3.246479068522326372e+01 2.870538570604312099e+03 1.722224949502791647e-02 8.207239149461806882e-01 1.608249553425916689e-01 3.650304267526616035e-04 8.334913384476658766e-07 5.187062680945071693e-04 3.227432293035051436e-08 1.474318672006587570e-06 6.681697237666050582e-05 1.688044955355698246e-05 5.330776564689283189e-07 6.020836877545613077e-09 3.605065122907280615e-06 1.483460138012879184e-07 7.414565728752123860e-08 6.072736826093292145e-10 1.078763906664140416e-06 1.875251447845736638e-07 3.680400001749878902e-09 7.453611710066582990e-08 1.827467924226195204e-07 6.210828038124265198e-07 5.457868732978225064e-08 5.325027981091301271e-05 6.534399502561682028e-05 3.654875819017672915e-06 5.887113948324440511e-05 1.692135964469807335e-06
2.048389811985377662e+01 2.624025682219707960e+03 8.865180654462309282e-03 8.284218291825263814e-01 1.615047084036606573e-01 3.654852376587932271e-04 7.696520769420915636e-07 5.213173789211916070e-04 3.508751464685316133e-08 1.165420996899052446e-06 6.740847442313719837e-05 1.878457130054998037e-05 3.428216042357787582e-07 2.852160922252532507e-09 3.677539364865027748e-06 1.843900946059917712e-07 1.013959216222238334e-07 9.774357607801767157e-10 7.361037353662006425e-07 9.229554485858158799e-08 9.797577864305314173e-10 1.168640981408151692e-07 1.218122949015931057e-07 3.629602539533804023e-07 4.116330945596184432e-08 5.382299110471274546e-05 6.588406263532298895e-05 3.732966764607632441e-06 6.055729262502599313e-05 1.517092474479174442e-06
1.292446596230575651e+01 2.433625133097257731e+03 4.886117060130983243e-03 8.320975655045521613e-01 1.618292724636482272e-01 3.653341273367061571e-04 6.686503492885083594e-07 5.226676127333021275e-04 3.809035908451730902e-08 9.015659441515861775e-07 6.775626297393937039e-05 1.998843079427553264e-05 2.194289849542125728e-07 1.329320476905067119e-09 3.705217391461076661e-06 2.073343072179134639e-07 1.221842888339557279e-07 1.497717461818630331e-09 5.061299142165706534e-07 4.906965573690005043e-08 2.854262635182702564e-10 1.621302127466467429e-07 8.146520091038541944e-08 2.157679228297606337e-07 3.075895675340350374e-08 5.416287824751818831e-05 6.616726193831186636e-05 3.778172128359711387e-06 6.091490115159757730e-05 1.213958471897225537e-06
8.154786722401082599e+00 2.325718548741758241e+03 3.598055352767295153e-03 8.332853772463862940e-01 1.619339986862023961e-01 3.648423438737450589e-04 4.430774019328205663e-07 5.233481654663340796e-04 4.025962493802975346e-08 6.486223714761022563e-07 6.797148717776730178e-05 2.034426831286629661e-05 1.397719439223057684e-07 5.867420862557307544e-10 3.713178887401781655e-06 2.157889066693321887e-07 1.322100786418851763e-07 1.955915366143493998e-09 3.658056913359757815e-07 3.525342158669279491e-08 1.270418047107354404e-10 1.673886296057262788e-07 5.776384248794954487e-08 1.416774203222664898e-07 2.340154499891464698e-08 5.433866984594677035e-05 6.628719202615563472e-05 3.804377235715223668e-06 6.092926662205194326e-05 9.606080588889021763e-07
