#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
1.589830474751439959e-01 2.517222195234633877e-02
1.596189796650445414e-01 2.528082008237717698e-02
1.602574555837047166e-01 2.532536651682618101e-02
1.608984854060395708e-01 2.521204745082093052e-02
1.615420793476636807e-01 2.524054465479531884e-02
1.621882476650543525e-01 2.509998919560253727e-02
1.628370006557145755e-01 2.521722991531430424e-02
1.634883486583374457e-01 2.518869846760182080e-02
1.641423020529707844e-01 2.493994559076465750e-02
1.647988712611826723e-01 2.519006552224475892e-02
1.654580667462274002e-01 2.541335977287280043e-02
1.661198990132123077e-01 2.513319487375944433e-02
1.667843786092651215e-01 2.519750580419915717e-02
1.674515161237022098e-01 2.505037353262445921e-02
1.681213221881969755e-01 2.489811016043421560e-02
1.687938074769497754e-01 2.483749140820545181e-02
1.694689827068575905e-01 2.465143358976170859e-02
1.701468586376850278e-01 2.477096875261753511e-02
1.708274460722357391e-01 2.499878316028647518e-02
1.715107558565246715e-01 2.496420846238702959e-02
1.721967988799507909e-01 2.501929815761757409e-02
1.728855860754705820e-01 2.503362287712933287e-02
1.735771284197724640e-01 2.481747257846639992e-02
1.742714369334515678e-01 2.476924843085584818e-02
1.749685226811853456e-01 2.467697251959145854e-02
1.756683967719100681e-01 2.438933214443939068e-02
1.763710703589977391e-01 2.428303165230988672e-02
1.770765546404337309e-01 2.451065367574187942e-02
1.777848608589954471e-01 2.455681559470141925e-02
1.784960003024314568e-01 2.448411658411363614e-02
1.792099843036411844e-01 2.455107375651252588e-02
1.799268242408557650e-01 2.437425996406039630e-02
1.806465315378191772e-01 2.448830828540000948e-02
1.813691176639704306e-01 2.434513803648680197e-02
1.820945941346263086e-01 2.419932119969956177e-02
1.828229725111648329e-01 2.406529849137765270e-02
1.835542644012094771e-01 2.416450754270193721e-02
1.842884814588143239e-01 2.414428388543140083e-02
1.850256353846495561e-01 2.429024730670541893e-02
1.857657379261881403e-01 2.404715975021372298e-02
1.865088008778928996e-01 2.390452351653114815e-02
1.872548360814044743e-01 2.403825407587333735e-02
1.880038554257300876e-01 2.395324916170636642e-02
