,file name,Time (UTC),Time,Exp Time,orbit,Filter,6.000um Flux,18.500um Flux,31.500um Flux,44.500um Flux,57.500um Flux,70.000um Flux,82.500um Flux,95.500um Flux,108.500um Flux,121.500um Flux,6.000um Error,18.500um Error,31.500um Error,44.500um Error,57.500um Error,70.000um Error,82.500um Error,95.500um Error,108.500um Error,121.500um Error
0,ibh721p0q_flt.fits,2012-02-05T17:54:45.000,2455963.246354167,100.651947,0.0,G141,0.9886092643359535,0.9858766772444262,0.986261952532867,0.9872552311230035,0.9861821880241249,0.9857927946837693,0.9830243815201863,0.9847340123451829,0.9856158642246762,0.9863730329991965,0.0005442010844921028,0.0004534156485784867,0.00044351027120630073,0.0004324963620989756,0.00042713463597894113,0.00046623021367426647,0.00045389835590820503,0.00045489523144471113,0.0004796597983601855,0.0005148660641010178
1,ibh721pdq_flt.fits,2012-02-05T17:56:44.000,2455963.2477314817,100.651947,0.0,G141,0.9935802135151043,0.9919022511828293,0.993161110786029,0.9924911311226394,0.991528564155969,0.9923384419876516,0.9882311393334636,0.9903136774849808,0.9901701850578962,0.9903858162190586,0.0005463995244265016,0.00045674442664597677,0.0004459320871073737,0.00043395053344015056,0.0004281065462896972,0.0004671939581740872,0.00045489694668620815,0.00045595683725715194,0.0004804946562418543,0.000514830592501326
2,ibh721ouq_flt.fits,2012-02-05T17:58:43.000,2455963.2491087965,100.651947,0.0,G141,0.9940611577029032,0.9936516837615901,0.9941661336692166,0.993635840360809,0.9945535953804713,0.9932454728124284,0.993082845613073,0.9933603620067223,0.9940004784166786,0.9934628769183865,0.00054417873606077,0.00045507957946214775,0.00044520261899890287,0.0004336873711427886,0.0004281666543999935,0.0004675109877167315,0.00045522922390406383,0.00045632188258702244,0.00048100695305398075,0.0005154005462500024
3,ibh721r9q_flt.fits,2012-02-05T18:00:42.000,2455963.2504861113,100.651947,0.0,G141,0.9965829682912853,0.9969041388366519,0.9952349233683672,0.9962118633286293,0.9960263009019543,0.9956634055368676,0.9945920615134705,0.9938882703457514,0.9954715602095244,0.9940126151179083,0.0005447496795110414,0.0004549720495504317,0.000445251836169829,0.0004340814635088906,0.0004286996379053703,0.00046786110595006364,0.00045527552113881135,0.00045621297624199897,0.0004809892750766519,0.0005153173559359097
4,ibh721req_flt.fits,2012-02-05T18:02:41.000,2455963.251863426,100.651947,0.0,G141,0.9975488888438678,0.9965604361278015,0.9975535478472696,0.9975654112885592,0.9960966010151284,0.9964387363090368,0.9976783472138354,0.9964987608247377,0.995367953169562,0.9941917964339364,0.0005455041578086545,0.00045627086087662595,0.0004459991977713292,0.0004342208102961634,0.0004284952137818327,0.00046791926482672697,0.00045596247258772863,0.0004568494498040112,0.00048096331530289593,0.0005154034804297982
5,ibh721quq_flt.fits,2012-02-05T18:04:40.000,2455963.253240741,100.651947,0.0,G141,0.9985867073820229,0.9973632517744038,0.9963789610146295,0.998008346127342,0.9958840939451304,0.996866997238108,0.9976950667207737,0.9961734276979823,0.996409160815799,0.9970518120499406,0.0005457355871966352,0.00045647961812709235,0.00044585574794006524,0.00043400945533030185,0.0004285602299948955,0.0004680767433115836,0.00045586425008657124,0.0004569513906476509,0.0004815502865816901,0.0005162250071813195
6,ibh721p8q_flt.fits,2012-02-05T18:06:39.000,2455963.2546180557,100.651947,0.0,G141,0.9998808535351035,0.9972817045649237,0.9971185829174506,0.9958814726422772,0.9983621167362151,0.9986946972609244,0.9968264166089055,0.9956672065827882,0.9980309058713966,0.9946860613274515,0.0005450383611990369,0.0004549307092773263,0.00044474925455470894,0.0004338019126041639,0.00042897280687430463,0.0004683822577446472,0.0004556449605905422,0.00045662288064160186,0.00048145541471150395,0.0005159097210732266
7,ibh721pqq_flt.fits,2012-02-05T18:08:38.000,2455963.2559953704,100.651947,0.0,G141,1.0014448855053908,0.9983699912526488,0.9974832489563502,0.9981633431025857,0.9989272792027211,0.9981155637020885,0.9970723511770954,0.997358692577356,0.9973501827419925,0.9973830974220087,0.0005519177216016659,0.0004555930046091162,0.0004448379073938493,0.0004342327718046829,0.0004287701867007831,0.0004681554585893441,0.0004561398125156796,0.00045713340009939516,0.000481138519270265,0.0005158487840323013
8,ibh721qmq_flt.fits,2012-02-05T18:10:37.000,2455963.2573726852,100.651947,0.0,G141,1.0008043469885992,0.997992648519374,0.9985114463584939,0.9980821534521561,0.9987325516498765,0.9997004614943791,0.9972682866343733,0.9971471917748577,0.9978888027741146,0.9957684149502667,0.0005462167471442036,0.00045547739490945353,0.00044503404924858467,0.00043397274377487434,0.0004291255106671061,0.0004685671801041061,0.0004556124088461439,0.0004564606811222853,0.00048135757834991187,0.0005153324061970328
9,ibh721oxq_flt.fits,2012-02-05T18:12:36.000,2455963.25875,100.651947,0.0,G141,1.0001191464648966,0.9981030024995914,0.999115912586898,0.9991400218988221,0.9982458441454287,0.9975980171291633,0.9986246962416943,0.9991801095893981,0.9988575601414774,0.9967510096035604,0.0005457491474584514,0.0004564832217090269,0.00044620505995610836,0.00043459691666939787,0.0004289815263444021,0.00046829965752018206,0.00045607276583185677,0.0004570580883521791,0.0004816300572521191,0.0005155660518028911
10,ibh721piq_flt.fits,2012-02-05T18:14:35.000,2455963.260127315,100.651947,0.0,G141,1.0024615984730136,0.9997769372920483,0.998839023320927,0.9985099891546406,0.9985137246670255,0.9990626812011681,0.9986470545656372,0.9968831548097792,0.9977294328711187,0.9976357769382088,0.0005475031836855551,0.00045724698394498893,0.0004457951430027553,0.0004338687363495189,0.0004287829968967143,0.00046824361534797014,0.000455630556255002,0.00045653431249062553,0.00048149460455808465,0.0005161970400755865
11,ibh721qxq_flt.fits,2012-02-05T18:16:34.000,2455963.2615046296,100.651947,0.0,G141,1.0016143135609816,0.9982839760866004,0.9989645423285369,0.9998268176929516,1.0003257984390097,0.9999611733902743,0.9978867063363855,0.9993773027399812,0.9986959130102356,0.9981575771736485,0.0005473993956221686,0.0004564028681726714,0.0004458343226433327,0.0004345775477899182,0.00042921808332874905,0.0004685428162575355,0.0004560724367976881,0.000456997640442098,0.00048173775575005237,0.0005159253943568525
12,ibh721rhq_flt.fits,2012-02-05T18:18:33.000,2455963.2628819444,100.651947,0.0,G141,1.0012588337520574,0.9993524892889215,0.9994943684578963,0.9980572514187974,0.998252384917038,0.9984746968112479,0.9986255456587692,0.9980469291011245,0.9987629203813898,0.996939303493859,0.0005465640015118676,0.00045660910584380087,0.00044590503416491603,0.00043418070673672957,0.0004288418258401481,0.0004684274487296429,0.0004562123738021221,0.0004572472996286934,0.00048155873614875766,0.0005156023599867124
13,ibh721p5q_flt.fits,2012-02-05T18:20:32.000,2455963.264259259,100.651947,0.0,G141,1.0015153684249987,1.0006547014339755,0.9987509695717389,0.999294916013071,0.9995872511716056,0.9991312594773993,0.9983791644803788,0.9995409524427422,0.9981735174416048,0.9977291363829002,0.0005470716188935806,0.00045725818793494006,0.00044618216582647255,0.00043426100828323095,0.0004290220778943358,0.0004685737022175405,0.00045621356697862086,0.00045715960553691613,0.0004816594296399632,0.0005161686471183236
14,ibh721omq_flt.fits,2012-02-05T18:22:31.000,2455963.265636574,100.651947,0.0,G141,1.0029286207860315,0.9996263892296235,0.9993668405357103,0.9999759119237773,0.9986883262173013,1.0006119800086044,0.9985997587247522,0.9993751821141249,1.0005113459699382,0.9987202629556339,0.0005472184622126111,0.0004571559574571609,0.00044628999204812035,0.0004343794094945221,0.0004289944849176671,0.0004685809238638276,0.0004564276232452813,0.0004574772590987807,0.0004820174963485957,0.0005165051039054172
15,ibh721rcq_flt.fits,2012-02-05T18:24:30.000,2455963.267013889,100.651947,0.0,G141,1.0008479161966917,0.9995737227676482,0.998923767891846,1.000257562108117,1.0000168384726427,1.0015528155105669,1.0000069808837198,0.999340581985608,0.9997242011940646,0.9995698827467384,0.0005468786755710445,0.0004570214497940645,0.00044607611068394097,0.0004343070663151747,0.0004292220813423493,0.00046885299437498954,0.0004564166795069855,0.0004572237361853339,0.0004818108419845989,0.0005168474374762664
16,ibh721qsq_flt.fits,2012-02-05T18:26:29.000,2455963.2683912036,100.651947,0.0,G141,1.000438433494373,1.0002422962355029,0.9992426260826714,0.999944980666146,0.9997349650714539,1.0002594508021945,0.9992936641702895,0.9993542428295504,0.9987080871175295,0.9989601914603183,0.000547107585157621,0.00045745875807344207,0.0004466839115945243,0.000434823687567999,0.00042940322872923674,0.0004687973004592079,0.00045634034464789444,0.00045716694059637526,0.0004816506625687342,0.0005166714014180918
17,ibh721pwq_flt.fits,2012-02-05T18:28:28.000,2455963.2697685184,100.651947,0.0,G141,1.001263981260391,1.0001691571310651,1.0006682416912294,1.00127808899709,0.9988281643425119,0.9999594365677678,0.9996889454614387,1.0002476293248386,0.9997107954541115,0.9990750610968265,0.0005472832478035362,0.0004574266555626319,0.00044640592028884153,0.0004344908248282086,0.00042902965649068634,0.0004685372320412785,0.00045641410994889643,0.00045761218309192523,0.0004821105170093071,0.0005164972428384243
18,ibh721qfq_flt.fits,2012-02-05T18:30:27.000,2455963.271145833,100.651947,0.0,G141,0.9997818146238254,0.9985879564236088,0.999582665142909,0.9999118465003829,0.9989921610073638,0.9992323093228843,0.9997489879859112,1.0002447074615648,0.9998198570232224,1.0001577818034013,0.0005469591304461711,0.0004567462083903085,0.0004461124287163755,0.00043445308238570764,0.0004290784530020992,0.0004687266736485087,0.0004566271429848078,0.0004577102936832608,0.00048199045513758676,0.0005164051186856499
