,file name,Time (UTC),Time,Exp Time,orbit,Filter,15.000um Flux,25.500um Flux,36.500um Flux,47.500um Flux,58.500um Flux,69.000um Flux,79.500um Flux,90.500um Flux,101.500um Flux,112.500um Flux,15.000um Error,25.500um Error,36.500um Error,47.500um Error,58.500um Error,69.000um Error,79.500um Error,90.500um Error,101.500um Error,112.500um Error
0,ibh721omq_flt.fits,2012-02-05T17:54:45.000,2455963.246354167,100.651947,0.0,G141,0.9858756918417823,0.9844465488617962,0.988194387080061,0.9868866781260323,0.9863877517325024,0.9863851943804853,0.9834882911811925,0.9843441069601778,0.9851892904346968,0.9827928057551037,0.0007989892974827464,0.0007976611092375729,0.0007519417023619054,0.0007508779627293058,0.0007417425874697567,0.0008161394971416853,0.000783407900772182,0.0007874983627916935,0.0008097945189838016,0.0008458837198544325
1,ibh721onq_flt.fits,2012-02-05T17:56:44.000,2455963.2477314817,100.651947,0.0,G141,0.9926170566836633,0.9919748184468571,0.9926536100153667,0.9931290315058513,0.991611848158641,0.992250798135764,0.9896979862835347,0.9900427515578001,0.9896688621986534,0.9901319183658683,0.0008030293573674829,0.0008018496342555478,0.0007549999287239274,0.0007530987677530904,0.0007433940714884241,0.00081781828744091,0.0007850692303918583,0.0007894447680205489,0.0008116643443212357,0.0008489706367644569
2,ibh721ooq_flt.fits,2012-02-05T17:58:43.000,2455963.2491087965,100.651947,0.0,G141,0.9937150953531955,0.9945708311145167,0.9939417985206473,0.994423191942253,0.9938328941208477,0.9934440274014813,0.9926479038103426,0.993257814598102,0.9937871305746226,0.9932336388063624,0.000799902044826414,0.0007998421902933592,0.000754166217291833,0.0007528275735750315,0.0007436144837519997,0.0008185083072049217,0.0007858799969380717,0.0007902848712597215,0.0008125791064429668,0.0008499783654259887
3,ibh721opq_flt.fits,2012-02-05T18:00:42.000,2455963.2504861113,100.651947,0.0,G141,0.9974677661393935,0.9956426790053392,0.9965489489178454,0.9964178254642662,0.995757411014291,0.9951841543189338,0.9953665637671435,0.9936832054264018,0.9943815039368388,0.9957904773525651,0.0008000224594863158,0.0007997868029811083,0.0007545453885946078,0.0007536863009535136,0.0007445121158622526,0.0008191189009733375,0.0007859900103074518,0.0007900477941717668,0.0008123402801085608,0.0008499608757086634
4,ibh721oqq_flt.fits,2012-02-05T18:02:41.000,2455963.251863426,100.651947,0.0,G141,0.9967554544298226,0.9971853444433598,0.996731929004689,0.9977652789036571,0.996369512008152,0.9967385736676617,0.9971580168131491,0.9969679979668441,0.9959940919397443,0.9941040391643872,0.000801927530068026,0.0008017028715178106,0.0007553842469679717,0.0007537416102377966,0.000744181357779585,0.0008191280672545659,0.0007868965762949609,0.0007912690575000307,0.000812929593685128,0.0008498649776111436
5,ibh721orq_flt.fits,2012-02-05T18:04:40.000,2455963.253240741,100.651947,0.0,G141,0.9984059526960466,0.9962441126690668,0.9968567662001667,0.998566329811766,0.9954303501786138,0.9971802544659187,0.9967309767763759,0.9970842878496705,0.9969412635105046,0.995424034853911,0.0008025723194001974,0.0008017748787793378,0.0007549964756915682,0.0007534425504329106,0.0007442523778300996,0.0008193300914753754,0.0007868343490759078,0.0007912602665085876,0.0008134656277926465,0.0008508616454058051
6,ibh721osq_flt.fits,2012-02-05T18:06:39.000,2455963.2546180557,100.651947,0.0,G141,0.9972347308510171,0.9974483910328268,0.9966684386812312,0.9964331241558109,0.9982264043221255,0.9984100723783851,0.9980857712724645,0.9961313140322605,0.9961038511891065,0.9972586012895391,0.0008000464138116499,0.000799126746792177,0.0007537026718773619,0.0007534383599217785,0.0007451065745829351,0.0008200789427120343,0.0007866535149419302,0.0007906739682292222,0.0008131357056901413,0.0008509262105154858
7,ibh721otq_flt.fits,2012-02-05T18:08:38.000,2455963.2559953704,100.651947,0.0,G141,0.9978462877937686,0.9982920511112017,0.9975849358073897,0.9988379613586013,0.9985630349543866,0.9985342944504475,0.9970301593436883,0.9972870266962364,0.9979406697573615,0.9975475624083576,0.0008015383831642937,0.0007998888585771714,0.0007545029556336707,0.0007536161707470424,0.000744595849656866,0.0008197344664926336,0.0007873053680726441,0.0007916468876998889,0.0008132846433958875,0.0008502488731695786
8,ibh721ouq_flt.fits,2012-02-05T18:10:37.000,2455963.2573726852,100.651947,0.0,G141,0.9975200451607406,1.0000937203231213,0.9971492896553644,0.9983126289436823,0.999097510402413,0.9993146256906213,0.997774970257738,0.9970841005258362,0.9985766240753814,0.9973483750384992,0.0008012298972446738,0.0007997857377474158,0.0007541167085641381,0.0007537226538684132,0.0007453202388389637,0.0008203406512562052,0.0007867215966915221,0.0007904863078722694,0.0008128853852652583,0.0008505201690118999
9,ibh721ovq_flt.fits,2012-02-05T18:12:36.000,2455963.25875,100.651947,0.0,G141,0.9986578750092688,0.9980236924523871,0.9988853712120824,0.9999482560485432,0.9980851304960615,0.997592121366449,0.9984739097249541,0.9987088109642094,0.9995516459175466,0.9987469371372256,0.0008023508115263749,0.0008020058578554621,0.000755797027437313,0.0007544864432035218,0.0007450198955622463,0.0008198711713560648,0.0007871733104242999,0.0007915452463084733,0.0008138396325616055,0.0008514282681784484
