"Wavelength [um]" "Fp/Fstar [ppm]" "Fp/Fstar_err_lower [ppm]" "Fp/Fstar_err_upper [ppm]"
1.1409073703157955 811.6054825312921 268.499992568559 268.63702159054645
1.1899142526175754 921.0853074926182 257.55735203853243 258.8536162247743
1.241254795981345 524.1343977889493 246.48250430464557 255.3611764564599
1.2925953393451142 919.2672859523412 247.19979292800312 254.92710044826003
1.3439358827088832 1185.4556460574152 247.16890517764344 258.1965118431986
1.3929427650106632 963.2113231757422 278.17511361721586 279.41576633049925
1.441949647312443 1188.4785109855923 262.8261831016934 264.73379538918897
1.493290190676212 1387.9267314406522 271.16092678194417 275.4776679033659
1.5446307340399816 1487.2899108202926 280.1075126095643 276.7749425800902
1.595971277403751 1672.045453057466 296.44708688986157 298.96268746275615
