"Wavelength [um]" "Fp/Fstar [ppm]" "Fp/Fstar_err_lower [ppm]" "Fp/Fstar_err_upper [ppm]"
1.1409073703157955 727.6838333191426 265.9377041995086 275.3516158578345
1.1899142526175754 856.277519422542 261.1007924322175 257.3748550695936
1.241254795981345 494.10991039606705 250.00724302827587 251.7736967443526
1.2925953393451142 889.5085541559123 254.91423688488246 247.58200128543163
1.3439358827088832 1131.0364204791267 249.7536550005074 251.27672792483608
1.3929427650106632 914.093292334978 279.2184297530009 273.3698508004339
1.441949647312443 1179.928045050153 269.03194567189576 270.14110745616955
1.493290190676212 1333.6782197616342 269.6519994232722 268.49277988687936
1.5446307340399816 1438.8425847749802 272.95542613796124 272.4515548583541
1.595971277403751 1625.321375608056 294.5368182002483 283.91140634566455
