Orbital Phase,Modified Flux
0.8761291970606635,0.9994193064476297
0.8770419497582225,1.0002861406234753
0.8779547024555541,0.9996681172864956
0.8788674551528857,0.9998329300253549
0.8797802078502173,1.0004941716148368
0.8806929605477762,1.0011862600901245
0.8816057132451078,0.9988846212919801
0.8825184659424394,1.000086571907627
0.883431218639771,1.0001951201977028
0.8843439713371026,1.0004989054714355
0.8852567240346616,0.999992325357025
0.8861694767319932,1.0002728191962562
0.8870822294293248,0.999444060249978
0.8879949821266564,1.0009234280805772
0.888907734823988,1.0009962744047651
0.889820487521547,1.000295241446395
0.8907332402188786,0.9990571019080124
0.8916459929162102,0.9987197787055466
0.8925587456135418,1.0001766473831937
0.8934714983108734,1.0008103576734224
0.8943842510084323,1.0001947526592851
0.8952970037057639,1.0013470130055402
0.8962097564030955,1.0009799376455044
0.9183996185138312,1.000549434602569
0.9193123715197089,1.0000630168128322
0.9202251242170405,0.9996326922472129
0.9211378769143721,1.0000690796526022
0.9220506296119311,0.9994204612503335
0.9229633823092627,1.0001661174741538
0.9238761350065943,0.9993979226705925
0.9247888877039259,1.0002410273423334
0.9257016404012575,0.9998351745439615
0.9266143930988164,0.9990445998186986
0.927527145796148,0.9999462513457574
0.9284398984934796,0.9991818383121291
0.9293526511908112,1.0001394813600561
0.9302654038881428,1.0000990422142388
0.9311781565857018,0.9989328878807817
0.9320909092830334,1.0002021291683485
0.933003661980365,1.0000872518016768
0.9339164146776966,0.9986447070933473
0.9348291673752556,1.0008075343327494
0.9357419200725872,0.9999728600602111
0.9366546727699188,1.000026370501577
0.9375674254672504,0.9998293219909774
0.938480178164582,0.9988758744798519
0.9393929308621409,1.000441241325284
0.9403056838680186,1.0017309554734597
0.9624878755207646,1.0000189089918123
0.9634006282180962,1.0001844061863812
0.9643133809156552,0.9983355936918867
0.9652261339215329,0.9978367749450542
0.9661388866188645,0.9984519651802723
0.9670516393161961,0.9960247387979646
0.9679643920137551,0.9931656681539347
0.9688771447110867,0.9930852458430803
0.9697898974084183,0.9904449875140697
0.9707026501057499,0.9879142438972204
0.9716154028030815,0.9867806104537559
0.9725281555006404,0.9834567308805772
0.973440908197972,0.9809405593509286
0.9743536608953036,0.979191711965472
0.9752664135926352,0.9794295447043387
0.9761791662901942,0.9781751258841606
0.9770919189875258,0.9781198671727724
0.9780046716848574,0.9771996701026447
0.978917424382189,0.9776615063873724
0.9798301770795206,0.9785397526723855
0.9807429297770796,0.9785383975068783
0.9816556824744112,0.9784931621445236
0.9825684351717427,0.9785337722849623
0.9834811878690743,0.9790528035419861
0.984393940566406,0.9781229909515459
0.006583802677141648,0.9765545533588106
0.007496555374473246,0.9777921919117777
0.008409308380578295,0.9770818267839717
0.009322061077909893,0.9774950191697093
0.010234813775241491,0.9782907427945599
0.01114756647257309,0.9773800212725373
0.012060319169904687,0.9745883376260491
0.01297307186746366,0.9775664978457951
0.013885824564795257,0.9762112853693418
0.014798577262126855,0.9763742793590908
0.015711329959458453,0.9771312373149179
0.01662408265679005,0.9771551424778868
0.017536835354349023,0.9784226547534036
0.01844958805168062,0.9768558022852112
0.01936234074901222,0.9778487905330204
0.020275093446343817,0.9782048128900771
0.021187846143675415,0.9792199940715592
0.022100598841234387,0.9770942368834222
0.023013351538565985,0.9788527057320431
0.023926104235897583,0.9790119429305499
0.02483885693322918,0.97826310403964
0.02575160963056078,0.9813511017721307
0.02666436232811975,0.9841207787453398
0.02757711502545135,0.9855327406052061
0.028489867722782947,0.9876684005775492
